fixture_id,league,season,kickoff,home_team,away_team,status,home_goals,away_goals,home_xg,away_xg,o_home,o_draw,o_away,o_btts_yes,o_btts_no,o_over_25,o_under_25
24,Serie A (Italy),2024,2024-11-06 21:00:00,Ser-Team-01,Ser-Team-03,FINISHED,2.0,2.0,1.67,0.35,1.61,4.0,5.4,2.08,1.75,2.05,1.79
25,Bundesliga (Germany),2024,2024-11-06 16:00:00,Bun-Team-05,Bun-Team-10,FINISHED,1.0,1.0,1.11,0.71,2.36,3.02,3.21,2.49,1.54,3.13,1.38
26,Bundesliga (Germany),2024,2024-11-06 18:00:00,Bun-Team-02,Bun-Team-08,FINISHED,0.0,0.0,1.23,0.38,1.82,3.08,5.6,3.17,1.35,3.67,1.28
27,Bundesliga (Germany),2024,2024-11-06 16:00:00,Bun-Team-03,Bun-Team-13,FINISHED,2.0,0.0,0.91,1.22,3.38,3.45,2.12,2.02,1.8,2.29,1.63
28,Bundesliga (Germany),2024,2024-11-06 21:00:00,Bun-Team-07,Bun-Team-14,FINISHED,2.0,1.0,2.07,1.42,1.85,4.3,3.51,1.48,2.66,1.47,2.72
29,Bundesliga (Germany),2024,2024-11-06 21:00:00,Bun-Team-01,Bun-Team-06,FINISHED,2.0,1.0,0.9,1.37,2.83,3.63,2.36,1.79,2.03,1.97,1.85
30,Bundesliga (Germany),2024,2024-11-06 21:00:00,Bun-Team-04,Bun-Team-16,FINISHED,1.0,0.0,0.92,0.73,2.15,3.33,3.43,2.15,1.69,2.5,1.52
31,Bundesliga (Germany),2024,2024-11-06 16:00:00,Bun-Team-12,Bun-Team-11,FINISHED,3.0,2.0,2.09,0.91,1.38,5.02,7.19,1.9,1.91,1.65,2.27
32,Bundesliga (Germany),2024,2024-11-06 18:00:00,Bun-Team-15,Bun-Team-09,FINISHED,1.0,0.0,1.06,0.49,2.52,2.6,3.6,3.46,1.31,4.95,1.19
33,Ligue 1 (France),2024,2024-11-06 13:00:00,Lig-Team-11,Lig-Team-08,FINISHED,1.0,1.0,1.22,0.66,1.71,3.23,5.94,3.07,1.38,3.35,1.34
34,Ligue 1 (France),2024,2024-11-06 16:00:00,Lig-Team-01,Lig-Team-15,FINISHED,3.0,1.0,1.01,1.57,3.76,3.87,1.85,1.76,2.07,1.8,2.01
35,Ligue 1 (France),2024,2024-11-06 16:00:00,Lig-Team-06,Lig-Team-02,FINISHED,3.0,1.0,1.95,0.84,1.92,3.5,4.02,2.13,1.72,2.38,1.6
36,Ligue 1 (France),2024,2024-11-06 21:00:00,Lig-Team-03,Lig-Team-14,FINISHED,3.0,2.0,1.08,1.18,2.5,3.07,2.95,2.33,1.61,2.88,1.43
37,Ligue 1 (France),2024,2024-11-06 13:00:00,Lig-Team-07,Lig-Team-10,FINISHED,2.0,0.0,2.23,0.47,1.35,4.71,10.07,2.76,1.46,2.21,1.69
38,Ligue 1 (France),2024,2024-11-06 21:00:00,Lig-Team-16,Lig-Team-13,FINISHED,0.0,0.0,0.74,0.49,2.78,2.62,3.22,3.41,1.32,4.88,1.17
39,Ligue 1 (France),2024,2024-11-06 21:00:00,Lig-Team-09,Lig-Team-12,FINISHED,0.0,2.0,1.07,0.75,2.22,3.16,3.4,2.34,1.61,2.8,1.45
40,Ligue 1 (France),2024,2024-11-06 21:00:00,Lig-Team-04,Lig-Team-05,FINISHED,1.0,0.0,0.98,0.69,2.1,2.78,4.58,3.44,1.32,4.47,1.21
41,Premier League (England),2024,2024-11-07 18:00:00,Pre-Team-08,Pre-Team-07,FINISHED,1.0,1.0,1.28,1.33,2.45,3.54,2.71,1.84,1.98,2.05,1.79
42,Premier League (England),2024,2024-11-07 16:00:00,Pre-Team-10,Pre-Team-12,FINISHED,1.0,1.0,1.11,1.92,2.71,3.9,2.31,1.56,2.42,1.65,2.28
43,Premier League (England),2024,2024-11-07 13:00:00,Pre-Team-04,Pre-Team-03,FINISHED,3.0,0.0,1.76,0.68,1.56,4.11,5.85,2.08,1.76,1.99,1.81
44,Premier League (England),2024,2024-11-07 18:00:00,Pre-Team-13,Pre-Team-06,FINISHED,3.0,1.0,1.18,0.93,2.19,3.14,3.54,2.41,1.58,2.86,1.43
45,Premier League (England),2024,2024-11-07 16:00:00,Pre-Team-05,Pre-Team-15,FINISHED,0.0,0.0,1.34,1.08,2.1,3.05,3.92,2.68,1.48,3.23,1.35
46,Premier League (England),2024,2024-11-07 16:00:00,Pre-Team-02,Pre-Team-11,FINISHED,0.0,2.0,1.36,0.71,1.94,3.61,3.73,1.96,1.86,2.12,1.73
47,Premier League (England),2024,2024-11-07 18:00:00,Pre-Team-01,Pre-Team-14,FINISHED,0.0,0.0,1.37,0.62,1.98,3.15,4.27,2.54,1.51,3.02,1.4
48,Premier League (England),2024,2024-11-07 16:00:00,Pre-Team-16,Pre-Team-09,FINISHED,1.0,0.0,0.63,0.43,2.11,2.62,4.9,3.89,1.26,5.24,1.16
49,La Liga (Spain),2024,2024-11-07 13:00:00,La -Team-03,La -Team-15,FINISHED,3.0,2.0,1.54,1.89,3.2,3.99,2.01,1.59,2.4,1.62,2.3
50,La Liga (Spain),2024,2024-11-07 16:00:00,La -Team-13,La -Team-07,FINISHED,0.0,0.0,1.15,0.82,2.0,3.02,4.33,2.8,1.45,3.42,1.32
51,La Liga (Spain),2024,2024-11-07 16:00:00,La -Team-09,La -Team-11,FINISHED,2.0,1.0,0.74,1.36,3.29,3.65,2.09,1.81,2.0,1.96,1.85
52,La Liga (Spain),2024,2024-11-07 21:00:00,La -Team-12,La -Team-04,FINISHED,3.0,0.0,1.35,0.83,1.58,3.51,6.75,2.99,1.39,2.96,1.4
53,La Liga (Spain),2024,2024-11-07 16:00:00,La -Team-05,La -Team-14,FINISHED,1.0,0.0,1.28,1.01,2.48,3.24,2.9,2.18,1.72,2.57,1.53
54,La Liga (Spain),2024,2024-11-07 18:00:00,La -Team-02,La -Team-16,FINISHED,4.0,1.0,1.94,0.93,1.55,4.55,5.13,1.68,2.16,1.59,2.39
55,La Liga (Spain),2024,2024-11-07 21:00:00,La -Team-08,La -Team-06,FINISHED,1.0,0.0,1.01,1.24,2.12,3.08,3.83,2.59,1.5,3.17,1.37
56,La Liga (Spain),2024,2024-11-07 16:00:00,La -Team-10,La -Team-01,FINISHED,1.0,1.0,1.94,0.91,1.78,4.01,3.96,1.73,2.13,1.76,2.11
57,Serie A (Italy),2024,2024-11-07 16:00:00,Ser-Team-03,Ser-Team-04,FINISHED,1.0,0.0,1.15,1.44,3.49,3.34,2.11,2.13,1.69,2.45,1.56
58,Serie A (Italy),2024,2024-11-07 16:00:00,Ser-Team-14,Ser-Team-13,FINISHED,0.0,2.0,1.06,0.73,2.1,2.93,4.03,2.84,1.42,3.55,1.29
59,Serie A (Italy),2024,2024-11-07 13:00:00,Ser-Team-10,Ser-Team-02,FINISHED,1.0,0.0,1.33,1.28,2.3,3.46,2.96,1.93,1.88,2.17,1.7
60,Serie A (Italy),2024,2024-11-07 13:00:00,Ser-Team-01,Ser-Team-09,FINISHED,2.0,1.0,1.54,0.5,1.84,3.3,4.74,2.55,1.51,2.88,1.42
61,Serie A (Italy),2024,2024-11-07 13:00:00,Ser-Team-08,Ser-Team-06,FINISHED,0.0,1.0,1.23,0.35,2.22,2.83,3.9,3.01,1.4,3.95,1.25
62,Serie A (Italy),2024,2024-11-07 16:00:00,Ser-Team-15,Ser-Team-11,FINISHED,2.0,0.0,1.11,1.0,2.27,3.09,3.36,2.41,1.56,2.95,1.42
63,Serie A (Italy),2024,2024-11-07 13:00:00,Ser-Team-16,Ser-Team-05,FINISHED,1.0,2.0,0.87,1.68,5.08,3.71,1.69,2.21,1.66,2.28,1.62
64,Serie A (Italy),2024,2024-11-07 13:00:00,Ser-Team-12,Ser-Team-07,FINISHED,2.0,0.0,1.59,0.66,1.79,3.76,4.21,1.96,1.84,2.05,1.77
65,Bundesliga (Germany),2024,2024-11-07 21:00:00,Bun-Team-10,Bun-Team-15,FINISHED,0.0,1.0,0.64,1.27,3.79,2.92,2.21,2.78,1.45,3.53,1.29
66,Bundesliga (Germany),2024,2024-11-07 16:00:00,Bun-Team-01,Bun-Team-14,FINISHED,2.0,1.0,2.03,0.86,1.76,4.34,3.92,1.53,2.49,1.51,2.58
67,Bundesliga (Germany),2024,2024-11-07 13:00:00,Bun-Team-07,Bun-Team-12,FINISHED,0.0,1.0,0.99,1.37,3.09,3.44,2.25,1.99,1.83,2.23,1.66
68,Bundesliga (Germany),2024,2024-11-07 13:00:00,Bun-Team-06,Bun-Team-03,FINISHED,1.0,1.0,2.0,0.81,1.36,4.72,8.82,2.39,1.58,1.99,1.82
69,Bundesliga (Germany),2024,2024-11-07 21:00:00,Bun-Team-13,Bun-Team-08,FINISHED,3.0,1.0,1.6,0.45,1.7,3.52,5.42,2.53,1.5,2.68,1.49
70,Bundesliga (Germany),2024,2024-11-07 18:00:00,Bun-Team-16,Bun-Team-05,FINISHED,1.0,0.0,0.57,0.83,3.53,3.05,2.24,2.52,1.52,3.11,1.36
71,Bundesliga (Germany),2024,2024-11-07 21:00:00,Bun-Team-04,Bun-Team-09,FINISHED,1.0,2.0,0.43,1.55,4.74,3.18,1.88,2.69,1.47,3.07,1.38
72,Bundesliga (Germany),2024,2024-11-07 21:00:00,Bun-Team-02,Bun-Team-11,FINISHED,0.0,2.0,1.25,1.1,1.79,3.92,4.02,1.81,2.03,1.84,1.97
73,Ligue 1 (France),2024,2024-11-07 21:00:00,Lig-Team-04,Lig-Team-08,FINISHED,1.0,0.0,0.63,0.63,2.12,2.46,5.5,4.63,1.2,6.5,1.12
74,Ligue 1 (France),2024,2024-11-07 16:00:00,Lig-Team-05,Lig-Team-10,FINISHED,1.0,1.0,1.65,0.8,1.77,3.51,4.84,2.37,1.58,2.53,1.52
75,Ligue 1 (France),2024,2024-11-07 21:00:00,Lig-Team-09,Lig-Team-03,FINISHED,0.0,0.0,0.74,0.8,1.94,2.98,4.75,3.05,1.38,3.69,1.28
76,Ligue 1 (France),2024,2024-11-07 16:00:00,Lig-Team-06,Lig-Team-07,FINISHED,1.0,2.0,1.2,1.34,3.48,3.71,1.98,1.83,1.99,1.95,1.85
77,Ligue 1 (France),2024,2024-11-07 18:00:00,Lig-Team-13,Lig-Team-02,FINISHED,3.0,1.0,1.31,0.42,2.14,2.71,4.46,3.46,1.32,4.61,1.21
78,Ligue 1 (France),2024,2024-11-07 21:00:00,Lig-Team-16,Lig-Team-11,FINISHED,2.0,2.0,0.99,1.09,3.33,2.84,2.43,2.81,1.44,3.73,1.29
79,Ligue 1 (France),2024,2024-11-07 16:00:00,Lig-Team-01,Lig-Team-12,FINISHED,2.0,1.0,0.7,1.09,2.78,3.37,2.49,2.01,1.81,2.3,1.64
80,Ligue 1 (France),2024,2024-11-07 13:00:00,Lig-Team-14,Lig-Team-15,FINISHED,0.0,0.0,0.65,2.24,3.87,4.02,1.8,1.68,2.19,1.68,2.18
81,Premier League (England),2024,2024-11-13 16:00:00,Pre-Team-10,Pre-Team-03,FINISHED,0.0,1.0,1.06,1.42,3.66,3.6,1.94,1.98,1.83,2.15,1.71
82,Premier League (England),2024,2024-11-13 21:00:00,Pre-Team-05,Pre-Team-04,FINISHED,0.0,1.0,0.69,1.42,3.52,3.24,2.15,2.29,1.62,2.67,1.49
83,Premier League (England),2024,2024-11-13 13:00:00,Pre-Team-06,Pre-Team-08,FINISHED,1.0,0.0,1.22,0.53,1.87,3.13,4.83,2.83,1.43,3.29,1.33
84,Premier League (England),2024,2024-11-13 16:00:00,Pre-Team-07,Pre-Team-12,FINISHED,5.0,1.0,2.14,1.84,2.35,4.49,2.42,1.29,3.63,1.26,3.83
85,Premier League (England),2024,2024-11-13 21:00:00,Pre-Team-11,Pre-Team-16,FINISHED,1.0,0.0,1.09,0.91,2.34,3.07,3.26,2.38,1.58,2.89,1.42
86,Premier League (England),2024,2024-11-13 13:00:00,Pre-Team-01,Pre-Team-02,FINISHED,1.0,0.0,0.69,0.82,3.17,3.23,2.31,2.18,1.69,2.55,1.52
87,Premier League (England),2024,2024-11-13 21:00:00,Pre-Team-09,Pre-Team-14,FINISHED,3.0,0.0,0.57,0.67,2.6,2.54,3.51,3.53,1.31,5.15,1.17
88,Premier League (England),2024,2024-11-13 18:00:00,Pre-Team-13,Pre-Team-15,FINISHED,0.0,1.0,1.26,1.22,2.24,3.04,3.51,2.51,1.52,3.11,1.39
89,La Liga (Spain),2024,2024-11-13 13:00:00,La -Team-10,La -Team-06,FINISHED,2.0,2.0,1.16,0.97,2.13,3.52,3.29,1.92,1.88,2.12,1.72
90,La Liga (Spain),2024,2024-11-13 13:00:00,La -Team-14,La -Team-16,FINISHED,0.0,2.0,1.95,0.7,1.4,4.48,8.6,2.57,1.51,2.17,1.7
91,La Liga (Spain),2024,2024-11-13 21:00:00,La -Team-01,La -Team-02,FINISHED,1.0,1.0,1.5,1.81,2.35,4.15,2.56,1.43,2.83,1.47,2.71
92,La Liga (Spain),2024,2024-11-13 16:00:00,La -Team-11,La -Team-04,FINISHED,3.0,1.0,0.71,0.51,2.19,2.68,4.34,3.52,1.3,4.81,1.19
93,La Liga (Spain),2024,2024-11-13 13:00:00,La -Team-03,La -Team-08,FINISHED,1.0,3.0,0.8,1.84,4.3,3.99,1.73,1.83,2.01,1.85,1.97
94,La Liga (Spain),2024,2024-11-13 13:00:00,La -Team-09,La -Team-13,FINISHED,1.0,1.0,1.27,1.4,2.52,3.75,2.53,1.66,2.24,1.78,2.05
95,La Liga (Spain),2024,2024-11-13 16:00:00,La -Team-12,La -Team-07,FINISHED,1.0,2.0,2.08,0.7,1.36,4.54,9.91,2.83,1.43,2.28,1.63
96,La Liga (Spain),2024,2024-11-13 13:00:00,La -Team-05,La -Team-15,FINISHED,1.0,0.0,1.67,1.0,1.81,3.59,4.41,2.16,1.72,2.29,1.63
97,Serie A (Italy),2024,2024-11-13 18:00:00,Ser-Team-12,Ser-Team-06,FINISHED,0.0,0.0,1.22,-0.07,1.58,3.08,9.77,4.96,1.18,4.75,1.2
98,Serie A (Italy),2024,2024-11-13 16:00:00,Ser-Team-15,Ser-Team-16,FINISHED,1.0,1.0,1.62,1.02,1.84,3.69,3.98,1.95,1.89,2.05,1.81
99,Serie A (Italy),2024,2024-11-13 18:00:00,Ser-Team-09,Ser-Team-08,FINISHED,4.0,0.0,2.29,0.7,1.41,5.04,6.55,1.74,2.09,1.53,2.5
100,Serie A (Italy),2024,2024-11-13 21:00:00,Ser-Team-05,Ser-Team-01,FINISHED,1.0,1.0,1.02,1.1,2.78,2.82,2.9,2.81,1.44,3.73,1.29
101,Serie A (Italy),2024,2024-11-13 16:00:00,Ser-Team-13,Ser-Team-10,FINISHED,0.0,0.0,1.1,1.27,2.63,3.43,2.59,1.93,1.86,2.19,1.69
102,Serie A (Italy),2024,2024-11-13 18:00:00,Ser-Team-02,Ser-Team-07,FINISHED,2.0,0.0,1.38,0.77,2.01,3.23,3.92,2.36,1.59,2.75,1.46
103,Serie A (Italy),2024,2024-11-13 21:00:00,Ser-Team-04,Ser-Team-14,FINISHED,0.0,0.0,1.02,0.47,2.25,2.94,3.72,2.8,1.45,3.57,1.3
104,Serie A (Italy),2024,2024-11-13 18:00:00,Ser-Team-11,Ser-Team-03,FINISHED,4.0,3.0,1.04,1.36,2.8,3.4,2.42,1.96,1.86,2.22,1.67
105,Bundesliga (Germany),2024,2024-11-13 18:00:00,Bun-Team-07,Bun-Team-14,FINISHED,4.0,1.0,1.96,1.54,1.82,4.3,3.51,1.47,2.67,1.46,2.72
106,Bundesliga (Germany),2024,2024-11-13 18:00:00,Bun-Team-15,Bun-Team-06,FINISHED,1.0,1.0,1.37,1.24,2.1,3.37,3.53,2.11,1.72,2.41,1.59
107,Bundesliga (Germany),2024,2024-11-13 16:00:00,Bun-Team-12,Bun-Team-16,FINISHED,0.0,1.0,1.72,0.98,1.45,4.26,7.54,2.43,1.57,2.18,1.69
108,Bundesliga (Germany),2024,2024-11-13 21:00:00,Bun-Team-05,Bun-Team-04,FINISHED,2.0,0.0,1.75,1.23,1.84,3.54,4.33,2.22,1.65,2.41,1.58
109,Bundesliga (Germany),2024,2024-11-13 18:00:00,Bun-Team-09,Bun-Team-11,FINISHED,4.0,1.0,1.54,0.44,1.46,4.12,7.33,2.52,1.55,2.3,1.63
110,Bundesliga (Germany),2024,2024-11-13 13:00:00,Bun-Team-02,Bun-Team-13,FINISHED,1.0,4.0,1.93,1.58,2.15,3.77,3.01,1.68,2.21,1.78,2.05
111,Bundesliga (Germany),2024,2024-11-13 18:00:00,Bun-Team-10,Bun-Team-08,FINISHED,0.0,0.0,1.04,0.25,1.8,2.98,6.06,3.64,1.29,4.26,1.23
112,Bundesliga (Germany),2024,2024-11-13 13:00:00,Bun-Team-01,Bun-Team-03,FINISHED,0.0,0.0,1.24,0.67,1.67,3.51,5.98,2.72,1.46,2.84,1.43
113,Ligue 1 (France),2024,2024-11-13 21:00:00,Lig-Team-01,Lig-Team-04,FINISHED,3.0,0.0,1.2,0.78,2.83,2.85,2.83,2.77,1.46,3.67,1.29
114,Ligue 1 (France),2024,2024-11-13 18:00:00,Lig-Team-07,Lig-Team-06,FINISHED,0.0,1.0,1.52,0.8,1.59,4.23,5.14,1.89,1.91,1.85,1.96
115,Ligue 1 (France),2024,2024-11-13 13:00:00,Lig-Team-10,Lig-Team-13,FINISHED,2.0,1.0,0.68,1.37,4.05,3.15,2.01,2.46,1.56,2.9,1.42
116,Ligue 1 (France),2024,2024-11-13 13:00:00,Lig-Team-08,Lig-Team-11,FINISHED,1.0,0.0,0.45,0.5,4.2,2.9,2.08,2.96,1.41,3.74,1.28
117,Ligue 1 (France),2024,2024-11-13 21:00:00,Lig-Team-15,Lig-Team-03,FINISHED,0.0,3.0,1.56,0.53,1.57,3.78,6.15,2.49,1.53,2.47,1.55
118,Ligue 1 (France),2024,2024-11-13 18:00:00,Lig-Team-09,Lig-Team-12,FINISHED,0.0,0.0,1.24,0.88,2.21,3.14,3.42,2.36,1.61,2.8,1.44
119,Ligue 1 (France),2024,2024-11-13 13:00:00,Lig-Team-14,Lig-Team-02,FINISHED,1.0,0.0,1.5,0.77,1.93,3.22,4.31,2.48,1.53,2.93,1.42
120,Ligue 1 (France),2024,2024-11-13 13:00:00,Lig-Team-16,Lig-Team-05,FINISHED,0.0,1.0,1.11,0.82,2.44,2.69,3.6,3.17,1.36,4.39,1.22
121,Premier League (England),2024,2024-11-14 13:00:00,Pre-Team-02,Pre-Team-04,FINISHED,1.0,1.0,1.21,1.05,2.4,3.24,3.0,2.16,1.7,2.58,1.52
122,Premier League (England),2024,2024-11-14 18:00:00,Pre-Team-15,Pre-Team-10,FINISHED,2.0,2.0,1.42,0.95,1.72,3.75,4.77,2.12,1.73,2.18,1.68
123,Premier League (England),2024,2024-11-14 16:00:00,Pre-Team-06,Pre-Team-01,FINISHED,3.0,1.0,0.93,1.16,2.96,3.38,2.34,2.01,1.84,2.24,1.65
124,Premier League (England),2024,2024-11-14 21:00:00,Pre-Team-12,Pre-Team-07,FINISHED,3.0,2.0,2.25,1.69,1.77,4.78,3.5,1.31,3.51,1.26,3.94
125,Premier League (England),2024,2024-11-14 16:00:00,Pre-Team-09,Pre-Team-08,FINISHED,0.0,1.0,0.78,0.67,1.98,2.77,5.09,3.57,1.31,4.56,1.2
126,Premier League (England),2024,2024-11-14 13:00:00,Pre-Team-14,Pre-Team-05,FINISHED,1.0,2.0,0.65,0.79,3.08,2.63,2.82,3.23,1.35,4.67,1.19
127,Premier League (England),2024,2024-11-14 18:00:00,Pre-Team-16,Pre-Team-03,FINISHED,2.0,1.0,0.95,0.46,2.06,2.9,4.34,3.04,1.38,3.82,1.27
128,Premier League (England),2024,2024-11-14 18:00:00,Pre-Team-13,Pre-Team-11,FINISHED,0.0,0.0,1.18,1.51,3.06,3.5,2.25,1.96,1.86,2.16,1.7
129,La Liga (Spain),2024,2024-11-14 21:00:00,La -Team-12,La -Team-03,FINISHED,3.0,0.0,3.16,0.31,1.18,7.52,12.22,1.75,2.08,1.3,3.55
130,La Liga (Spain),2024,2024-11-14 13:00:00,La -Team-01,La -Team-08,FINISHED,0.0,2.0,0.96,0.88,3.26,3.23,2.24,2.21,1.65,2.6,1.49
131,La Liga (Spain),2024,2024-11-14 16:00:00,La -Team-10,La -Team-09,FINISHED,1.0,3.0,2.31,1.12,1.51,4.91,5.1,1.51,2.59,1.4,3.01
132,La Liga (Spain),2024,2024-11-14 18:00:00,La -Team-05,La -Team-07,FINISHED,2.0,0.0,1.8,0.87,1.46,4.18,7.53,2.55,1.53,2.3,1.63
133,La Liga (Spain),2024,2024-11-14 21:00:00,La -Team-14,La -Team-16,FINISHED,1.0,1.0,1.84,0.44,1.39,4.49,8.67,2.57,1.51,2.17,1.68
134,La Liga (Spain),2024,2024-11-14 16:00:00,La -Team-13,La -Team-11,FINISHED,0.0,1.0,0.68,0.97,3.07,2.79,2.65,2.85,1.43,3.82,1.27
135,La Liga (Spain),2024,2024-11-14 18:00:00,La -Team-04,La -Team-06,FINISHED,0.0,1.0,0.96,0.71,2.96,2.88,2.69,2.72,1.47,3.57,1.3
136,La Liga (Spain),2024,2024-11-14 16:00:00,La -Team-15,La -Team-02,FINISHED,1.0,4.0,1.13,1.41,2.17,3.75,2.99,1.71,2.17,1.78,2.02
137,Serie A (Italy),2024,2024-11-14 21:00:00,Ser-Team-05,Ser-Team-10,FINISHED,4.0,1.0,1.53,1.14,2.06,3.46,3.47,2.04,1.78,2.28,1.64
138,Serie A (Italy),2024,2024-11-14 18:00:00,Ser-Team-15,Ser-Team-13,FINISHED,0.0,2.0,1.14,1.22,2.99,2.91,2.66,2.68,1.48,3.47,1.31
139,Serie A (Italy),2024,2024-11-14 18:00:00,Ser-Team-09,Ser-Team-02,FINISHED,0.0,0.0,0.96,0.74,2.82,2.89,2.81,2.67,1.48,3.52,1.31
140,Serie A (Italy),2024,2024-11-14 13:00:00,Ser-Team-03,Ser-Team-06,FINISHED,1.0,0.0,1.07,0.46,1.79,2.81,6.75,4.29,1.23,5.05,1.18
141,Serie A (Italy),2024,2024-11-14 18:00:00,Ser-Team-12,Ser-Team-11,FINISHED,4.0,1.0,1.79,0.38,1.58,3.98,5.91,2.24,1.64,2.16,1.68
142,Serie A (Italy),2024,2024-11-14 18:00:00,Ser-Team-16,Ser-Team-08,FINISHED,1.0,0.0,2.12,1.39,1.88,4.59,3.26,1.35,3.25,1.31,3.5
143,Serie A (Italy),2024,2024-11-14 21:00:00,Ser-Team-01,Ser-Team-14,FINISHED,1.0,0.0,0.86,0.82,2.08,3.05,3.93,2.59,1.51,3.14,1.35
144,Serie A (Italy),2024,2024-11-14 18:00:00,Ser-Team-07,Ser-Team-04,FINISHED,2.0,1.0,0.94,1.39,3.42,3.17,2.2,2.34,1.61,2.8,1.44
145,Bundesliga (Germany),2024,2024-11-14 21:00:00,Bun-Team-09,Bun-Team-12,FINISHED,1.0,0.0,1.08,0.9,2.36,2.9,3.46,2.66,1.46,3.46,1.31
146,Bundesliga (Germany),2024,2024-11-14 16:00:00,Bun-Team-11,Bun-Team-04,FINISHED,2.0,0.0,1.48,1.21,2.25,3.74,2.85,1.69,2.2,1.81,2.01
